original_index,randomized_index,Blank,QC_Inter_Batch,QC_Intra_Batch,species,family,genus,site_of_collection,state,city,date,year,month,season,comments
QC,QC,Blank,QC_Inter_Batch,QC_Intra_Batch,,,,,,,,,,,
QC,QC,Blank,QC_Inter_Batch,QC_Intra_Batch,,,,,,,,,,,
QC,QC,Blank,QC_Inter_Batch,QC_Intra_Batch,,,,,,,,,,,
13,0,,,,Juglans nigra,Juglandaceae,Juglans,Cuyahoga Valley National Park,Ohio,Cleveland,2024-05-19,2024.0,May,Spring,Sample from valley floor
188,1,,,,Alnus rubra,Betulaceae,Alnus,Redwood National Park,California,Crescent City,2023-12-18,2023.0,December,Winter,Collected near redwoods
43,2,,,,Juglans nigra,Juglandaceae,Juglans,Cuyahoga Valley National Park,Ohio,Cleveland,2024-05-19,2024.0,May,Spring,Sample from valley floor
18,3,,,,Betula papyrifera,Betulaceae,Betula,Lake Park,Minnesota,Duluth,2023-06-29,2023.0,July,Summer,Sample near lake shore
158,4,,,,Alnus rubra,Betulaceae,Alnus,Redwood National Park,California,Crescent City,2023-12-03,2023.0,December,Winter,Collected near redwoods
193,5,,,,Juglans nigra,Juglandaceae,Juglans,Cuyahoga Valley National Park,Ohio,Cleveland,2024-04-26,2024.0,May,Spring,Sample from valley floor
73,6,,,,Juglans nigra,Juglandaceae,Juglans,Cuyahoga Valley National Park,Ohio,Cleveland,2024-04-29,2024.0,May,Spring,Sample from valley floor
19,7,,,,Picea glauca,Pinaceae,Picea,Rocky Mountain Park,Colorado,Denver,2023-08-01,2023.0,August,Summer,Collected at high altitude
101,8,,,,Ulmus americana,Ulmaceae,Ulmus,Central Park,New York,NY,2024-03-04,2024.0,March,Spring,Sample collected near water body
114,9,,,,Populus tremuloides,Salicaceae,Populus,Yosemite National Park,California,Yosemite,2024-01-13,2024.0,January,Winter,Sample from lower valley
55,10,,,,Carya ovata,Juglandaceae,Carya,Ozark National Forest,Arkansas,Fayetteville,2024-02-18,2024.0,February,Winter,Sample from hilly area
8,11,,,,Alnus rubra,Betulaceae,Alnus,Redwood National Park,California,Crescent City,2023-12-16,2023.0,December,Winter,Collected near redwoods
161,12,,,,Ulmus americana,Ulmaceae,Ulmus,Central Park,New York,NY,2024-03-03,2024.0,March,Spring,Sample collected near water body
83,13,,,,Alnus rubra,Betulaceae,Alnus,Redwood National Park,California,Crescent City,2023-12-07,2023.0,December,Winter,Collected near redwoods
15,14,,,,Acer rubrum,Sapindaceae,Acer,Forest Park,New York,NY,2023-03-31,2023.0,April,Spring,Sample collected near river
21,15,,,,Aesculus flava,Sapindaceae,Aesculus,Yellowstone Park,Wyoming,Cody,2023-09-29,2023.0,October,Fall,Sample from valley
194,16,,,,Larix laricina,Pinaceae,Larix,Boundary Waters Canoe Area,Minnesota,Ely,2024-06-14,2024.0,June,Summer,Sample from wetland
66,17,,,,Aesculus flava,Sapindaceae,Aesculus,Yellowstone Park,Wyoming,Cody,2023-10-18,2023.0,October,Fall,Sample from valley
172,18,,,,Tsuga canadensis,Pinaceae,Tsuga,Acadia National Park,Maine,Bar Harbor,2023-11-04,2023.0,November,Fall,Sample from coastal area
109,19,,,,Picea glauca,Pinaceae,Picea,Rocky Mountain Park,Colorado,Denver,2023-08-09,2023.0,August,Summer,Collected at high altitude
16,20,,,,Quercus alba,Fagaceae,Quercus,Highland Park,Illinois,Chicago,2023-05-24,2023.0,May,Spring,Sample collected near oak grove
81,21,,,,Aesculus flava,Sapindaceae,Aesculus,Yellowstone Park,Wyoming,Cody,2023-10-06,2023.0,October,Fall,Sample from valley
94,22,,,,Picea glauca,Pinaceae,Picea,Rocky Mountain Park,Colorado,Denver,2023-08-11,2023.0,August,Summer,Collected at high altitude
QC,QC,Blank,QC_Inter_Batch,QC_Intra_Batch,,,,,,,,,,,
QC,QC,Blank,QC_Inter_Batch,QC_Intra_Batch,,,,,,,,,,,
QC,QC,Blank,QC_Inter_Batch,QC_Intra_Batch,,,,,,,,,,,
199,23,,,,Picea glauca,Pinaceae,Picea,Rocky Mountain Park,Colorado,Denver,2023-08-19,2023.0,August,Summer,Collected at high altitude
57,24,,,,Fraxinus americana,Oleaceae,Fraxinus,Shenandoah National Park,Virginia,Charlottesville,2024-04-21,2024.0,April,Spring,Sample from forest trail
95,25,,,,Fagus grandifolia,Fagaceae,Fagus,Great Smoky Mountains,Tennessee,Knoxville,2023-09-08,2023.0,September,Fall,Collected from dense forest
128,26,,,,Alnus rubra,Betulaceae,Alnus,Redwood National Park,California,Crescent City,2023-12-02,2023.0,December,Winter,Collected near redwoods
78,27,,,,Betula papyrifera,Betulaceae,Betula,Lake Park,Minnesota,Duluth,2023-07-19,2023.0,July,Summer,Sample near lake shore
67,28,,,,Tsuga canadensis,Pinaceae,Tsuga,Acadia National Park,Maine,Bar Harbor,2023-10-28,2023.0,November,Fall,Sample from coastal area
102,29,,,,Fraxinus americana,Oleaceae,Fraxinus,Shenandoah National Park,Virginia,Charlottesville,2024-04-24,2024.0,April,Spring,Sample from forest trail
173,30,,,,Alnus rubra,Betulaceae,Alnus,Redwood National Park,California,Crescent City,2023-12-02,2023.0,December,Winter,Collected near redwoods
171,31,,,,Aesculus flava,Sapindaceae,Aesculus,Yellowstone Park,Wyoming,Cody,2023-10-07,2023.0,October,Fall,Sample from valley
184,32,,,,Picea glauca,Pinaceae,Picea,Rocky Mountain Park,Colorado,Denver,2023-07-31,2023.0,August,Summer,Collected at high altitude
44,33,,,,Larix laricina,Pinaceae,Larix,Boundary Waters Canoe Area,Minnesota,Ely,2024-06-14,2024.0,June,Summer,Sample from wetland
174,34,,,,Populus tremuloides,Salicaceae,Populus,Yosemite National Park,California,Yosemite,2024-01-07,2024.0,January,Winter,Sample from lower valley
9,35,,,,Populus tremuloides,Salicaceae,Populus,Yosemite National Park,California,Yosemite,2024-01-18,2024.0,January,Winter,Sample from lower valley
160,36,,,,Carya ovata,Juglandaceae,Carya,Ozark National Forest,Arkansas,Fayetteville,2024-02-25,2024.0,February,Winter,Sample from hilly area
191,37,,,,Ulmus americana,Ulmaceae,Ulmus,Central Park,New York,NY,2024-03-24,2024.0,March,Spring,Sample collected near water body
124,38,,,,Picea glauca,Pinaceae,Picea,Rocky Mountain Park,Colorado,Denver,2023-08-13,2023.0,August,Summer,Collected at high altitude
125,39,,,,Fagus grandifolia,Fagaceae,Fagus,Great Smoky Mountains,Tennessee,Knoxville,2023-09-12,2023.0,September,Fall,Collected from dense forest
138,40,,,,Betula papyrifera,Betulaceae,Betula,Lake Park,Minnesota,Duluth,2023-07-16,2023.0,July,Summer,Sample near lake shore
167,41,,,,Pinus strobus,Pinaceae,Pinus,Greenwood Park,Maine,Portland,2023-06-22,2023.0,June,Summer,Sample from pine forest edge
120,42,,,,Acer rubrum,Sapindaceae,Acer,Forest Park,New York,NY,2023-04-11,2023.0,April,Spring,Sample collected near river
26,43,,,,Ulmus americana,Ulmaceae,Ulmus,Central Park,New York,NY,2024-03-21,2024.0,March,Spring,Sample collected near water body
170,44,,,,Fagus grandifolia,Fagaceae,Fagus,Great Smoky Mountains,Tennessee,Knoxville,2023-09-17,2023.0,September,Fall,Collected from dense forest
80,45,,,,Fagus grandifolia,Fagaceae,Fagus,Great Smoky Mountains,Tennessee,Knoxville,2023-09-28,2023.0,September,Fall,Collected from dense forest
QC,QC,Blank,QC_Inter_Batch,QC_Intra_Batch,,,,,,,,,,,
QC,QC,Blank,QC_Inter_Batch,QC_Intra_Batch,,,,,,,,,,,
QC,QC,Blank,QC_Inter_Batch,QC_Intra_Batch,,,,,,,,,,,
100,46,,,,Carya ovata,Juglandaceae,Carya,Ozark National Forest,Arkansas,Fayetteville,2024-02-23,2024.0,February,Winter,Sample from hilly area
185,47,,,,Fagus grandifolia,Fagaceae,Fagus,Great Smoky Mountains,Tennessee,Knoxville,2023-09-19,2023.0,September,Fall,Collected from dense forest
1,48,,,,Quercus alba,Fagaceae,Quercus,Highland Park,Illinois,Chicago,2023-05-06,2023.0,May,Spring,Sample collected near oak grove
135,49,,,,Acer rubrum,Sapindaceae,Acer,Forest Park,New York,NY,2023-04-03,2023.0,April,Spring,Sample collected near river
189,50,,,,Populus tremuloides,Salicaceae,Populus,Yosemite National Park,California,Yosemite,2024-01-19,2024.0,January,Winter,Sample from lower valley
154,51,,,,Picea glauca,Pinaceae,Picea,Rocky Mountain Park,Colorado,Denver,2023-08-09,2023.0,August,Summer,Collected at high altitude
142,52,,,,Tsuga canadensis,Pinaceae,Tsuga,Acadia National Park,Maine,Bar Harbor,2023-10-26,2023.0,November,Fall,Sample from coastal area
105,53,,,,Acer rubrum,Sapindaceae,Acer,Forest Park,New York,NY,2023-04-06,2023.0,April,Spring,Sample collected near river
97,54,,,,Tsuga canadensis,Pinaceae,Tsuga,Acadia National Park,Maine,Bar Harbor,2023-10-31,2023.0,November,Fall,Sample from coastal area
192,55,,,,Fraxinus americana,Oleaceae,Fraxinus,Shenandoah National Park,Virginia,Charlottesville,2024-04-03,2024.0,April,Spring,Sample from forest trail
12,56,,,,Fraxinus americana,Oleaceae,Fraxinus,Shenandoah National Park,Virginia,Charlottesville,2024-04-12,2024.0,April,Spring,Sample from forest trail
148,57,,,,Juglans nigra,Juglandaceae,Juglans,Cuyahoga Valley National Park,Ohio,Cleveland,2024-04-28,2024.0,May,Spring,Sample from valley floor
5,58,,,,Fagus grandifolia,Fagaceae,Fagus,Great Smoky Mountains,Tennessee,Knoxville,2023-09-24,2023.0,September,Fall,Collected from dense forest
198,59,,,,Betula papyrifera,Betulaceae,Betula,Lake Park,Minnesota,Duluth,2023-07-01,2023.0,July,Summer,Sample near lake shore
34,60,,,,Picea glauca,Pinaceae,Picea,Rocky Mountain Park,Colorado,Denver,2023-08-02,2023.0,August,Summer,Collected at high altitude
155,61,,,,Fagus grandifolia,Fagaceae,Fagus,Great Smoky Mountains,Tennessee,Knoxville,2023-09-06,2023.0,September,Fall,Collected from dense forest
126,62,,,,Aesculus flava,Sapindaceae,Aesculus,Yellowstone Park,Wyoming,Cody,2023-10-05,2023.0,October,Fall,Sample from valley
7,63,,,,Tsuga canadensis,Pinaceae,Tsuga,Acadia National Park,Maine,Bar Harbor,2023-11-04,2023.0,November,Fall,Sample from coastal area
35,64,,,,Fagus grandifolia,Fagaceae,Fagus,Great Smoky Mountains,Tennessee,Knoxville,2023-09-10,2023.0,September,Fall,Collected from dense forest
92,65,,,,Pinus strobus,Pinaceae,Pinus,Greenwood Park,Maine,Portland,2023-06-17,2023.0,June,Summer,Sample from pine forest edge
137,66,,,,Pinus strobus,Pinaceae,Pinus,Greenwood Park,Maine,Portland,2023-06-10,2023.0,June,Summer,Sample from pine forest edge
